run_key,gold_position,question_count,accuracy
phase1/pythia-2.8b,0,200,0.34
phase1/pythia-2.8b,4,200,0.225
phase1/pythia-2.8b-kv,0,50,0.94
phase1/pythia-2.8b-kv,1,50,0.34
phase1/pythia-2.8b-kv,2,50,0.2
phase1/pythia-2.8b-kv,3,50,0.08
phase1/pythia-2.8b-kv,4,50,0.18
phase1/pythia-2.8b-kv,5,50,0.16
phase1/pythia-2.8b-kv,6,50,0.08
phase1/pythia-2.8b-kv,7,50,0.2
phase1/pythia-2.8b-kv,8,50,0.42
phase1/pythia-2.8b-kv,9,50,0.16
phase2/mamba-2.8b,0,800,0.19875
phase2/mamba-2.8b,1,800,0.185
phase2/mamba-2.8b,2,800,0.185
phase2/mamba-2.8b,3,800,0.18875
phase2/mamba-2.8b,4,800,0.18875
phase2/mamba-2.8b,5,800,0.1975
phase2/mamba-2.8b,6,800,0.19375
phase2/mamba-2.8b,7,800,0.20375
phase2/mamba-2.8b,8,800,0.22375
phase2/mamba-2.8b,9,800,0.31625
phase2/mamba-2.8b-kv,0,50,0.0
phase2/mamba-2.8b-kv,1,50,0.0
phase2/mamba-2.8b-kv,2,50,0.0
phase2/mamba-2.8b-kv,3,50,0.0
phase2/mamba-2.8b-kv,4,50,0.0
phase2/mamba-2.8b-kv,5,50,0.0
phase2/mamba-2.8b-kv,6,50,0.0
phase2/mamba-2.8b-kv,7,50,0.0
phase2/mamba-2.8b-kv,8,50,0.0
phase2/mamba-2.8b-kv,9,50,0.0
phase2/mamba2-2.7b,0,800,0.18125
phase2/mamba2-2.7b,1,800,0.175
phase2/mamba2-2.7b,2,800,0.17375
phase2/mamba2-2.7b,3,800,0.1725
phase2/mamba2-2.7b,4,800,0.18375
phase2/mamba2-2.7b,5,800,0.20875
phase2/mamba2-2.7b,6,800,0.19875
phase2/mamba2-2.7b,7,800,0.2125
phase2/mamba2-2.7b,8,800,0.24375
phase2/mamba2-2.7b,9,800,0.35875
phase2/mamba2-2.7b-kv,0,50,0.78
phase2/mamba2-2.7b-kv,1,50,0.04
phase2/mamba2-2.7b-kv,2,50,0.06
phase2/mamba2-2.7b-kv,3,50,0.0
phase2/mamba2-2.7b-kv,4,50,0.0
phase2/mamba2-2.7b-kv,5,50,0.0
phase2/mamba2-2.7b-kv,6,50,0.0
phase2/mamba2-2.7b-kv,7,50,0.0
phase2/mamba2-2.7b-kv,8,50,0.04
phase2/mamba2-2.7b-kv,9,50,0.52
phase2/pythia-2.8b,0,800,0.26625
phase2/pythia-2.8b,1,800,0.1975
phase2/pythia-2.8b,2,800,0.19625
phase2/pythia-2.8b,3,800,0.19
phase2/pythia-2.8b,4,800,0.18
phase2/pythia-2.8b,5,800,0.18
phase2/pythia-2.8b,6,800,0.20375
phase2/pythia-2.8b,7,800,0.2175
phase2/pythia-2.8b,8,800,0.23125
