run_key,phase,experiment,task,model_key,mixer,model_repo,model_revision,params_millions,training_corpus,prompt_variant,prompt_template,record_count,question_count,mean_score
phase1/pythia-2.8b,phase1,calibration,multidoc_qa,pythia-2.8b,attention,EleutherAI/pythia-2.8b,2a259cdd96a4beb1cdf467512e3904197345f6a9,2800,,liu_baseline,liu_baseline,800,200,0.3275
phase2/pythia-2.8b,phase2,matched-2.8b-architecture,multidoc_qa,pythia-2.8b,attention,EleutherAI/pythia-2.8b,2a259cdd96a4beb1cdf467512e3904197345f6a9,2800,,liu_baseline,liu_baseline,9600,800,0.239375
phase2/mamba-2.8b,phase2,matched-2.8b-architecture,multidoc_qa,mamba-2.8b,state-space,state-spaces/mamba-2.8b-hf,96c48e0292b63f5346b6d30061af2551f7101e26,2800,pile,liu_baseline,liu_baseline,9600,800,0.234271
phase2/mamba2-2.7b,phase2,matched-2.8b-architecture,multidoc_qa,mamba2-2.7b,state-space,AntonV/mamba2-2.7b-hf,ef542707386fa9ec86bbf8a35ed2952af84bf566,,,liu_baseline,liu_baseline,9600,800,0.237917
phase3/mamba2-8b,phase3,matched-8b-pure-vs-hybrid,multidoc_qa,mamba2-8b,state-space,nvidia/mamba2-8b-3t-4k,b915550c63ba9359f88f44d1f6a600d85af27302,,,liu_baseline,liu_baseline,9600,800,0.326979
phase3/mamba2-hybrid-8b,phase3,matched-8b-pure-vs-hybrid,multidoc_qa,mamba2-hybrid-8b,hybrid,nvidia/mamba2-hybrid-8b-3t-4k,35e8852e2240b350ac2fe2a3b8aa341b5930018e,,,liu_baseline,liu_baseline,9600,800,0.3925
phase4/pythia-160m,phase4,scale-pair-130m-160m,multidoc_qa,pythia-160m,attention,EleutherAI/pythia-160m,50f5173d932e8e61f858120bcb800b97af589f46,160,,liu_baseline,liu_baseline,9600,800,0.005313
phase4/mamba-130m,phase4,scale-pair-130m-160m,multidoc_qa,mamba-130m,state-space,state-spaces/mamba-130m-hf,1e76775f628fbf1350fbe4dbb3d971ba64af25a1,130,,liu_baseline,liu_baseline,9600,800,0.068646
phase4/pythia-410m,phase4,scale-pair-370m-410m,multidoc_qa,pythia-410m,attention,EleutherAI/pythia-410m,9879c9b5f8bea9051dcb0e68dff21493d67e9d4f,410,,liu_baseline,liu_baseline,9600,800,0.120313
phase4/mamba-370m,phase4,scale-pair-370m-410m,multidoc_qa,mamba-370m,state-space,state-spaces/mamba-370m-hf,b519127f5bfaaa1c27dd938dad051ec360972b23,370,,liu_baseline,liu_baseline,9600,800,0.109063
phase4/pythia-1b,phase4,scale-pair-790m-1b,multidoc_qa,pythia-1b,attention,EleutherAI/pythia-1b,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,1000,,liu_baseline,liu_baseline,9600,800,0.170729
phase4/mamba-790m,phase4,scale-pair-790m-1b,multidoc_qa,mamba-790m,state-space,state-spaces/mamba-790m-hf,9822dd4b76af2bd9099b6ce2f19efd8329189a7e,790,,liu_baseline,liu_baseline,9600,800,0.161458
phase4/pythia-1.4b,phase4,scale-pair-1.4b-1.4b,multidoc_qa,pythia-1.4b,attention,EleutherAI/pythia-1.4b,fedc38a16eea3bd36a96b906d78d11d2ce18ed79,1400,,liu_baseline,liu_baseline,9600,800,0.212604
phase4/mamba-1.4b,phase4,scale-pair-1.4b-1.4b,multidoc_qa,mamba-1.4b,state-space,state-spaces/mamba-1.4b-hf,6e46eae61c27280517feef46f536d16b91076f08,1400,,liu_baseline,liu_baseline,9600,800,0.181979
phase4/pythia-2.8b,phase4,scale-pair-2.8b-2.8b,multidoc_qa,pythia-2.8b,attention,EleutherAI/pythia-2.8b,2a259cdd96a4beb1cdf467512e3904197345f6a9,2800,,liu_baseline,liu_baseline,9600,800,0.239375
phase4/mamba-2.8b,phase4,scale-pair-2.8b-2.8b,multidoc_qa,mamba-2.8b,state-space,state-spaces/mamba-2.8b-hf,96c48e0292b63f5346b6d30061af2551f7101e26,2800,pile,liu_baseline,liu_baseline,9600,800,0.234271
phase5/mamba-2.8b,phase5,pretraining-corpus,multidoc_qa,mamba-2.8b,state-space,state-spaces/mamba-2.8b-hf,96c48e0292b63f5346b6d30061af2551f7101e26,2800,pile,liu_baseline,liu_baseline,9600,800,0.233958
phase5/mamba-2.8b-slimpj,phase5,pretraining-corpus,multidoc_qa,mamba-2.8b-slimpj,state-space,state-spaces/mamba-2.8b-slimpj,a7bdd41af90ca0cc4ecfbd967e2ec28f1954b915,2800,slimpajama,liu_baseline,liu_baseline,9600,800,0.290521
phase7/pythia-2.8b-bookend,phase7,query-position-variant,multidoc_qa,pythia-2.8b,attention,EleutherAI/pythia-2.8b,2a259cdd96a4beb1cdf467512e3904197345f6a9,2800,,bookend,liu_baseline,2400,200,0.195417
